YEAR,MONTH,SPECIES,TA,SEA,SEAc,Sampling_date
2021,MAY,BNT,8.174299999999903,1.506359188874652,1.5209840353685806,2021-05-24
2021,MAY,MTS,8.374499999999898,1.786459166013612,1.8127306243373416,2021-05-24
2021,AUG,BNT,11.366000000000213,1.8257136257123991,1.8466988398010475,2021-08-02
2021,AUG,MTS,9.561299999999846,2.305518619025064,2.3384545992968504,2021-08-02
2021,OCT,MTS,12.665299999999888,2.8027609402148106,2.841688175495572,2021-10-10
2021,OCT,BNT,11.403999999999996,2.329233537085446,2.3594833232813603,2021-10-10
2022,MAY,BNT,7.706900000000132,1.4687352864776007,1.4883184236306353,2022-05-23
2022,MAY,MTS,10.19170000000031,2.6827850694209316,2.719535549823958,2022-05-23
2022,AUG,BNT,16.53950000000009,2.5254269197609953,2.55513782469936,2022-08-01
2022,AUG,MTS,8.728599999999687,2.020285725700851,2.0475868841562677,2022-08-01
2022,OCT,BNT,10.496899999999869,2.2056700353693093,2.2350789691742334,2022-10-10
2022,OCT,MTS,6.703449999999975,1.6267613121212794,1.6490457136571872,2022-10-10
2023,MAY,BNT,7.694899999999961,1.1017817487952208,1.1166706913465076,2023-05-15
2023,MAY,MTS,7.887049999999817,1.639832376668762,1.662607826344717,2023-05-15
2023,AUG,MTS,10.030150000000049,1.718665881053817,1.7422092492874308,2023-08-07
2023,AUG,BNT,9.358099999999922,1.7305505137958377,1.7542566852176984,2023-08-07
2023,OCT,BNT,13.13390000000004,2.3491174365649785,2.3826762570873354,2023-10-09
2023,OCT,MTS,19.105549999999994,3.7592766706802916,3.858205004119247,2023-10-09
2024,MAY,BNT,6.020099999999957,1.322199276214849,1.339150548986834,2024-05-13
2024,MAY,MTS,7.197850000000017,1.6332534819014846,1.653417105134836,2024-05-13
2024,AUG,BNT,8.417549999999892,1.8755712634649977,1.9035648644122365,2024-07-29
2024,AUG,MTS,8.623599999999897,1.5940542992829618,1.6147563031697536,2024-07-29
2024,OCT,BNT,13.333449999999857,2.074458666413364,2.104523284767181,2024-10-07
2024,OCT,MTS,5.172450000000026,1.2275456387333537,1.260722547888309,2024-10-07
